"Nrpk";"Year";"Date";"Polig_nr";"Nr_4digitcode";"Approach";"Uniq_no";"Uniq_Rprog";"Unipntno";"Eksp_spp";"Exp_gr";"Mont_pnt";"Address";"Rel_type";"Status";"Usage";"Ul_mown";"Ul_graz";"Ul_aftmh";"Exp_opin";"Statuslet";"Luordap";"Transect_segment";"Transect_length";"Tr_length_m";"Str_score";"Spp_scortotal";"Spp_score50";"Totl_score";"Gr_qualit_exp";"Gr_qualit_farmer";"No_sp_plot";"aeup";"avul";"bmed";"camp";"cpan";"cvul";"cent";"chet";"cole";"dact";"ddel";"frag";"gbor";"gali";"gver";"gera";"geum";"hype";"isal";"karv";"lath";"lhis";"lvul";"lova";"lfos";"lsal";"mlup";"mela";"pilo";"psax";"pmed";"plat";"poly";"parg";"pere";"pver";"rhin";"ssyl";"sacr";"svir";"spra";"thal";"thym";"tpra";"trif";"tmon";"teur";"voff";"vlon";"vvul";"cumul_spno";"pairs";"avrg_spno_plot"
4081;2024;20240620;"6905_6";6905;"komb";"24_6905_6_b";"24_6905_6";"24_6905_6_b_1";"M_Medne";"exp1";1;"Pupoli";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";37;"334.07901";334;0;"38";"38";"38";"bad";"na";6;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;18;1;7,1
4091;2024;20240620;"6905_7";6905;"komb";"24_6905_7_b";"24_6905_7";"24_6905_7_b_1";"M_Medne";"exp1";1;"Pupoli";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";40;"356.4330139";356;0;"31";"31";"31";"bad";"na";3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;6,1
4541;2024;20240626;"6968_3";6968;"komb";"24_6968_3_b";"24_6968_3";"24_6968_3_b_1";"M_Medne";"exp1";1;"Vecumnieki_ZS";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";41;"371.7890015";372;0;"31.5";"31.5";"31.5";"bad";"na";2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;6
4751;2024;20240702;"6989";6989;"rez";"24_6989_b";"24_6989";"24_6989_b_1";"M_Medne";"exp1";1;"Ilze_Ruksane";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_good";"s";"DAP";63;"568.8729858";569;0;"36";"36";"36";"bad";"na";9;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;1;6,8
3241;2024;20240621;"6599_2";6599;"rez";"24_6599_2_b";"24_6599_2";"24_6599_2_b_1";"M_Medne";"exp1";1;"Ciruli";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_excellent";"s";"DAP";26;"233.0980072";233;35;"79";"50";"85";"excellent";"na";13;0;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1;11,9
2701;2024;20240610;"6408_1";6408;"komb";"24_6408_1_b";"24_6408_1";"24_6408_1_b_1";"M_Medne";"exp1";1;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"no";"yes";"no";"exp_average";"s";"DAP";49;"443.1719971";443;30;"31";"31";"61";"good";"na";3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;14;1;6
2721;2024;20240702;"6408_3";6408;"komb";"24_6408_3_b";"24_6408_3";"24_6408_3_b_1";"M_Medne";"exp1";1;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"no";"no";"no";"exp_average";"s";"DAP";69;"625.2880249";625;40;"36.5";"36.5";"76.5";"good";"na";8;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;15;1;7,1
3311;2024;20240604;"6638";6638;"komb";"24_6638_b";"24_6638";"24_6638_b_1";"M_Medne";"exp1";1;"Sarmite_Augustane";"basic_ZP";"Participant";"pasture";"no";"no";"no";"exp_good";"s";"DAP";12;"107.8339996";108;30;"43.5";"43.5";"73.5";"good";"na";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1;7,2
3651;2024;20240701;"6768_3";6768;"komb";"24_6768_3_b";"24_6768_3";"24_6768_3_b_1";"M_Medne";"exp1";1;"Aiva_Gailite";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_good";"s";"DAP";23;"206.9160004";207;25;"73";"50";"75";"good";"na";9;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;20;1;10,5
3771;2024;20240625;"6808_2";6808;"komb";"24_6808_2_b";"24_6808_2";"24_6808_2_b_1";"M_Medne";"exp1";1;"Karlis_ Hermanis_Liepa";"basic_ZP";"Participant";"pasture";"no";"no";"no";"exp_average";"s";"DAP";60;"543.6019897";544;25;"47";"47";"72";"good";"na";7;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1;7,9
