Nrpk;Year;Date;Releve_area;Polig_nr;Manag_impact;Nr_4digitcode;Approach;Uniq_no;Uniq_Rprog;Unipntno;Eksp_spp;Eksp_group;Mont_pnt;Eksp_str;Address;Rel_type;Status;Usage;Ul_mown;Ul_graz;Ul_aftmh;Ul_strgraz;Exp_opin;Statuslet;Luordap;Shr_score;Litt_score;Sur_score;Mos_score;Exp_score;Swrd_score;Pastr_scor;Imp_score;Str_score;Spp_scortotal;Spp_score50;Totl_score;Gr_qualit_exp;Aegoppod;Alopepra;Anthrsyl;Calamepi;Cirsiarv;Chaeraro;Dactyglo;Elytrrep;Filipulm;Heracsos;Loliuper;Lupinpol;Ranunrep;Solidcan;Taraxoff;Trifohyb;Trifomed;Agrimonia eupatoria ;Alchemilla vulgaris ;Briza media ;Campanula spp.;Carex panicea;Carlina vulgaris;Centaurea spp.;Cirsium heterophyllum;Cirsium oleraceum;Dactylorhiza spp.;Dianthus deltoides;Fragaria spp.;Galium boreale;Galium spp.;Galium verum;Geranium spp. ;Geum spp.;Hypericum spp.;Inula salicina;Knautia arvensis;Lathyrus spp., Lotus spp.;Leontodon hispidus/danubialis;Leucanthemum vulgare;Listera ovata;Lychnis flos-cuculi;Lythrum salicaria;Medicago lupulina;Melampyrum spp.;Pilosella, Hieracium species ;Pimpinella saxifraga;Plantago media;Platanthera spp.;Polygala spp.;Potentilla argentea ;Potentilla erecta;Primula veris ;Rhinanthus spp.;Scirpus sylvaticus;Sedum acre;Solidago virgaurea;Succisa pratensis;Thalictrum spp.;Thymus spp. ;Tragopogon pratensis;Trifolium dzelteniem z.;Trifolium montanum;Trollius europaeus;Valeriana officinalis;Veronica longifolia;Viscaria vulgaris 
2758;2024;20240719;12.6;6408_k;no;6408;kontr;24_6408_k_b;24_6408_k;24_6408_k_b_7;J_Saulitis;Saulitis;7;J_Saulitis;HansaBio_SIA_kontr;basic_ZP;Control;meadow;no;no;no;na;exp_bad;k;DAP;10;0;0;0;-10;-5;na;-10;-15;13.5;13.5;-1.5;very_bad;2;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2759;2024;20240719;12.6;6408_k;no;6408;kontr;24_6408_k_b;24_6408_k;24_6408_k_b_8;J_Saulitis;Saulitis;8;J_Saulitis;HansaBio_SIA_kontr;basic_ZP;Control;meadow;no;no;no;na;exp_bad;k;DAP;10;0;0;0;-10;-5;na;-10;-15;13.5;13.5;-1.5;very_bad;2;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2760;2024;20240719;12.6;6408_k;no;6408;kontr;24_6408_k_b;24_6408_k;24_6408_k_b_9;J_Saulitis;Saulitis;9;J_Saulitis;HansaBio_SIA_kontr;basic_ZP;Control;meadow;no;no;no;na;exp_bad;k;DAP;10;0;0;0;-10;-5;na;-10;-15;13.5;13.5;-1.5;very_bad;2;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5101;2024;20240802;12.6;7085_k;no;7085;kontr;24_7085_k_b;24_7085_k;24_7085_k_b_1;S_Rusina;Rusina;1;S_Rusina;Ligija_Razna_kontr;basic_ZP;Control;meadow;yes;no;yes;na;exp_average;k;LU;0;-15;0;-10;0;-5;na;0;-30;29;29;-1;very_bad;2;1;1;2;1;0;2;2;1;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;0;0;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5102;2024;20240802;12.6;7085_k;no;7085;kontr;24_7085_k_b;24_7085_k;24_7085_k_b_10;S_Rusina;Rusina;10;S_Rusina;Ligija_Razna_kontr;basic_ZP;Control;meadow;yes;no;yes;na;exp_average;k;LU;0;-15;0;-10;0;-5;na;0;-30;29;29;-1;very_bad;2;1;1;2;1;0;2;2;1;0;0;0;1;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5103;2024;20240802;12.6;7085_k;no;7085;kontr;24_7085_k_b;24_7085_k;24_7085_k_b_2;S_Rusina;Rusina;2;S_Rusina;Ligija_Razna_kontr;basic_ZP;Control;meadow;yes;no;yes;na;exp_average;k;LU;0;-15;0;-10;0;-5;na;0;-30;29;29;-1;very_bad;2;1;1;2;1;0;2;2;1;0;0;0;1;0;2;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5104;2024;20240802;12.6;7085_k;no;7085;kontr;24_7085_k_b;24_7085_k;24_7085_k_b_3;S_Rusina;Rusina;3;S_Rusina;Ligija_Razna_kontr;basic_ZP;Control;meadow;yes;no;yes;na;exp_average;k;LU;0;-15;0;-10;0;-5;na;0;-30;29;29;-1;very_bad;2;1;1;2;1;0;2;2;1;0;0;0;1;0;2;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5105;2024;20240802;12.6;7085_k;no;7085;kontr;24_7085_k_b;24_7085_k;24_7085_k_b_4;S_Rusina;Rusina;4;S_Rusina;Ligija_Razna_kontr;basic_ZP;Control;meadow;yes;no;yes;na;exp_average;k;LU;0;-15;0;-10;0;-5;na;0;-30;29;29;-1;very_bad;2;1;1;2;1;0;2;2;1;0;0;0;1;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5106;2024;20240802;12.6;7085_k;no;7085;kontr;24_7085_k_b;24_7085_k;24_7085_k_b_5;S_Rusina;Rusina;5;S_Rusina;Ligija_Razna_kontr;basic_ZP;Control;meadow;yes;no;yes;na;exp_average;k;LU;0;-15;0;-10;0;-5;na;0;-30;29;29;-1;very_bad;2;1;1;2;1;0;2;2;1;0;0;0;1;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
5107;2024;20240802;12.6;7085_k;no;7085;kontr;24_7085_k_b;24_7085_k;24_7085_k_b_6;S_Rusina;Rusina;6;S_Rusina;Ligija_Razna_kontr;basic_ZP;Control;meadow;yes;no;yes;na;exp_average;k;LU;0;-15;0;-10;0;-5;na;0;-30;29;29;-1;very_bad;2;1;1;2;1;0;2;2;1;0;0;0;1;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
